"associatedSequences","catalogNumber","collectedBy","collectedByID","collectionCode","collectionID","dataGeneralizations","dateIdentified","derivationEventID","derivationType","derivedFromMaterialEntityID","digitalSpecimenID","disposition","eventID","evidenceForOccurrenceID","higherClassificationName","higherClassificationRank","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifiedByID","informationWithheld","institutionCode","institutionID","isPartOfMaterialEntityID","materialCategory","materialEntityID","materialEntityRemarks","materialEntityType","materialReferences","objectQuantity","objectQuantityType","otherCatalogNumbers","ownerInstitutionCode","ownerInstitutionID","preparations","recordNumber","scientificName","taxonFormula","taxonID","taxonRank","taxonRemarks","typeDesignationType","typeStatus","typifiedName","verbatimIdentification","verbatimLabel"
"","RMNH.5092444.b","","","","","","","","","","https://doi.org/TEST/ZZT-WX8-6NV","","8c141aa77eef94f51572a62845d749aa","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.5092444.b","","","","","","","","","Wing (study skin)","","","","","","","","","","",""
"","RMNH.AVES.135228","","","","","","","","","","https://doi.org/TEST/ZZT-VPF-77F","","4a31aec39d8d970dd17decf3f2fb3ba1","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.135228","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.86161","","","","","","","","","","https://doi.org/TEST/ZZT-T3P-V5T","","a206b38316eba2ef8811a0e2d47146e0","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.86161","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","ZMA.AVES.63838","","","","","","","","","","https://doi.org/TEST/ZZT-NR4-CYW","","5489b00dea715f402fd66956a422785a","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.63838","","","","","","","","","egg (air dried)","","","","","","","","","","",""
"","ZMA.AVES.47768","","","","","","","","","","https://doi.org/TEST/ZZT-NAK-L9K","","52c0fe46152b2ba69bd4a9867d64480f","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.47768","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.228827","","","","","","","","","","https://doi.org/TEST/ZZT-DQN-9X5","","68d47cd9e710271d9ff116f551cc64f6","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.228827","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.188539","","","","","","","","","","https://doi.org/TEST/ZZT-DE1-9G3","","520d3096003423bee04eddb55f873451","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.188539","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.34528","","","","","","","","","","https://doi.org/TEST/ZZT-B47-Q6Q","","9e1684e8ee8fd476926b347de896c286","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.34528","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.5092347.a","","","","","","","","","","https://doi.org/TEST/ZZT-4AV-R1J","","e5a84d2213ada534d8c3316f17b19986","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.5092347.a","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.156840","","","","","","","","","","https://doi.org/TEST/ZZT-248-H0T","","2350b11fbef0312f944303b28bafa183","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.156840","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.72028","","","","","","","","","","https://doi.org/TEST/ZZS-W05-701","","e03ec6115e62c7485ddc2b30594b4572","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.72028","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.207363","","","","","","","","","","https://doi.org/TEST/ZZS-VPV-VB5","","25d51a2c3d6f6ab927ad1f458534f359","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.207363","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","RMNH.AVES.140023","","","","","","","","","","https://doi.org/TEST/ZZS-KCC-XT3","","c0ac7eb8ce3afdcbe1f03844e8f7d6be","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.140023","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.171448","","","","","","","","","","https://doi.org/TEST/ZZS-KBB-7T7","","eba96c6de71ac6b92efbac6da92791fd","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.171448","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","ZMA.AVES.41941","","","","","","","","","","https://doi.org/TEST/ZZS-7YY-RNV","","a371408d1245f9b23620de65507d693b","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.41941","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.120368","","","","","","","","","","https://doi.org/TEST/ZZS-7CB-WSX","","222bd0aba75712576c5749849f061e62","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.120368","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.132918","","","","","","","","","","https://doi.org/TEST/ZZS-4S4-C4E","","601461713f3c21f582d1a975d8635491","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.132918","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.172987","","","","","","","","","","https://doi.org/TEST/ZZS-0W2-B22","","247e747795b2b387af50f2c7a751e704","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.172987","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","RMNH.AVES.78474","","","","","","","","","","https://doi.org/TEST/ZZS-0PA-P9M","","1e1e00c1db6f8968faf68f83b09ec42c","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.78474","","","","","","","","","egg (air dried)","","","","","","","","","","",""
"","ZMA.AVES.57443","","","","","","","","","","https://doi.org/TEST/ZZR-XQ2-EQX","","37093cd62680b710f04f30eb88ec49cd","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.57443","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.220138","","","","","","","","","","https://doi.org/TEST/ZZR-XBC-W7L","","6c4442ff3e0e81e5c74f5ac647080bf7","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.220138","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","ZMA.AVES.12672","","","","","","","","","","https://doi.org/TEST/ZZR-X01-P29","","d69c2b26d20a4b0f0f7b019772977af2","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.12672","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","ZMA.AVES.30393","","","","","","","","","","https://doi.org/TEST/ZZR-W17-PYE","","d46a7fdd69d786510b59fe4ca0b71de4","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.30393","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.15160","","","","","","","","","","https://doi.org/TEST/ZZR-VPK-4AX","","3aef8a7608210626910edf5876f4037a","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.15160","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.210848","","","","","","","","","","https://doi.org/TEST/ZZR-N40-WRD","","40f68cc3059750225707acddecda7116","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.210848","","","","","","","","","skin (mounted skin)","","","","","","","","","","",""
"","RMNH.AVES.202476","","","","","","","","","","https://doi.org/TEST/ZZR-LBB-VGW","","d77bc51a36f1f29f987f1b95ec5d27cf","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.202476","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.223763","","","","","","","","","","https://doi.org/TEST/ZZR-JAT-BHF","","5a15827e43bf180debf2f0fa732e27d3","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.223763","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.232675","","","","","","","","","","https://doi.org/TEST/ZZR-J3E-TGC","","66c82bbaf244ff4103daa005e6e755ee","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.232675","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.11449","","","","","","","","","","https://doi.org/TEST/ZZR-HCY-S89","","38232f69cccc00b7f143ccaec573150d","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.11449","","","","","","","","","skull (skeletonized)","","","","","","","","","","",""
