"ACCESSURI","CREATEDATE","CREATOR","CREATORID","FORMAT","MEDIADESCRIPTION","MEDIAID","MEDIALANGUAGE","MEDIATYPE","MODIFIED","OWNER","RIGHTS","SOURCE","WEBSTATEMENT"
"https://medialib.naturalis.nl/file/id/RMNH.INS.329264_2/format/large","","","","image/jpeg","","https://doi.org/TEST/K52-TC2-RDA","","StillImage","2025-01-28T08:58:05.831Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.CRUS.2420/format/large","","","","image/jpeg","","https://doi.org/TEST/K2Z-77C-0SX","","StillImage","2025-01-30T13:55:00.487Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1473246_1/format/large","","","","image/jpeg","","https://doi.org/TEST/JDP-LBV-S6M","","StillImage","2025-01-28T08:56:08.427Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1525755_1/format/large","","","","image/jpeg","","https://doi.org/TEST/J8V-XNR-MAT","","StillImage","2025-01-28T08:50:22.941Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.5165153_2/format/large","","","","image/jpeg","","https://doi.org/TEST/J0P-L9S-DH3","","StillImage","2025-01-28T08:57:44.981Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1415771_1/format/large","","","","image/jpeg","","https://doi.org/TEST/HSG-W3M-49X","","StillImage","2025-01-28T08:55:20.184Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1556693_1/format/large","","","","image/jpeg","","https://doi.org/TEST/HR1-BFZ-K20","","StillImage","2025-01-28T08:49:46.900Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1541967_1/format/large","","","","image/jpeg","","https://doi.org/TEST/HQ8-5QP-F05","","StillImage","2025-01-28T08:50:36.118Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1281738_1/format/large","","","","image/jpeg","","https://doi.org/TEST/HJL-PJ3-3D8","","StillImage","2025-01-28T08:55:32.375Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1172551_1/format/large","","","","image/jpeg","","https://doi.org/TEST/H2P-5MJ-77Q","","StillImage","2025-01-28T08:49:43.093Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.VER.203564/format/large","","","","image/jpeg","","https://doi.org/TEST/GNZ-TNB-GRF","","StillImage","2025-01-30T09:48:28.368Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.375697_0001/format/large","","","","image/jpeg","","https://doi.org/TEST/G9N-2NL-VQ1","","StillImage","2025-01-28T08:50:33.762Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.5146371_2/format/large","","","","image/jpeg","","https://doi.org/TEST/FVE-83T-BT1","","StillImage","2025-01-28T08:50:04.843Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.CRUS.9229/format/large","","","","image/jpeg","","https://doi.org/TEST/FD8-ZS3-12W","","StillImage","2025-01-30T13:57:07.813Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1540715_1/format/large","","","","image/jpeg","","https://doi.org/TEST/FAY-P7W-648","","StillImage","2025-01-28T08:49:46.782Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1330161_1/format/large","","","","image/jpeg","","https://doi.org/TEST/EY3-3XX-YWG","","StillImage","2025-01-28T08:51:41.873Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1410727_1/format/large","","","","image/jpeg","","https://doi.org/TEST/ES1-E90-RR1","","StillImage","2025-01-28T08:50:25.437Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.331565_0001/format/large","","","","image/jpeg","","https://doi.org/TEST/E0V-NQV-VY0","","StillImage","2025-01-28T08:54:41.289Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.5157286_1/format/large","","","","image/jpeg","","https://doi.org/TEST/E06-0NC-JS5","","StillImage","2025-01-28T08:55:33.563Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.315754_0001/format/large","","","","image/jpeg","","https://doi.org/TEST/DRN-A0P-PR6","","StillImage","2025-01-28T08:50:00.872Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.850923/format/large","","","","image/jpeg","","https://doi.org/TEST/DQZ-F28-E7N","","StillImage","2025-01-28T08:55:14.106Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1171080_1/format/large","","","","image/jpeg","","https://doi.org/TEST/DQE-3CS-569","","StillImage","2025-01-28T08:49:53.699Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.5168160_2/format/large","","","","image/jpeg","","https://doi.org/TEST/DH3-0XW-E30","","StillImage","2025-01-28T08:55:49.337Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.CRUS.D.19790/format/large","","","","image/jpeg","","https://doi.org/TEST/CX0-1ES-H1C","","StillImage","2025-01-30T13:58:05.128Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1556621_1/format/large","","","","image/jpeg","","https://doi.org/TEST/CSR-KTX-NR5","","StillImage","2025-01-28T08:50:42.094Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1326840_1/format/large","","","","image/jpeg","","https://doi.org/TEST/CS1-VXP-77L","","StillImage","2025-01-28T08:54:36.935Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.VER.P.8174/format/large","","","","image/jpeg","","https://doi.org/TEST/C99-BXG-P6G","","StillImage","2025-01-30T09:48:33.651Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.5168160_1/format/large","","","","image/jpeg","","https://doi.org/TEST/C5G-QLJ-8S8","","StillImage","2025-01-28T08:55:49.337Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
