"continent","coordinatePrecision","coordinateUncertaintyInMeters","country","countryCode","county","dataGeneralizations","datasetID","datasetName","day","decimalLatitude","decimalLongitude","endDayOfYear","eventCategory","eventConductedBy","eventConductedByID","eventDate","eventEffort","eventID","eventReferences","eventRemarks","eventTime","eventType","fieldNotes","fieldNumber","footprintSpatialFit","footprintSRS","footprintWKT","geodeticDatum","georeferencedBy","georeferencedByID","georeferencedDate","georeferenceProtocol","georeferenceProtocolID","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherGeography","higherGeographyID","informationWithheld","island","islandGroup","locality","locationID","locationRemarks","maximumDepthInMeters","maximumDistanceAboveSurfaceInMeters","maximumElevationInMeters","minimumDepthInMeters","minimumDistanceAboveSurfaceInMeters","minimumElevationInMeters","month","municipality","parentEventID","pointRadiusSpatialFit","preferredEventName","preferredSpatialRepresentation","startDayOfYear","stateProvince","verbatimCoordinates","verbatimCoordinateSystem","verbatimDepth","verbatimElevation","verbatimEventDate","verbatimLatitude","verbatimLocality","verbatimLongitude","verbatimSRS","verticalDatum","waterBody","year"
"","","","Mexico","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1963-04-23","","9e1684e8ee8fd476926b347de896c286","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Fortin","","","","","","","","","","","","","","","","Veracruz","","","","","23-04-1963","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","2017-01-21","","e5a84d2213ada534d8c3316f17b19986","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Harlingen","","","","","","","","","","","","","","","","Friesland","","","","","21 January 2017","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1896-06-12","","2350b11fbef0312f944303b28bafa183","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","St. Anthony Park","","","","","","","","","","","","","","","","Minn.","","","","","12-06-1896","","","","","","",""
"","","","Suriname","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1974-01-18","","e03ec6115e62c7485ddc2b30594b4572","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Phedra","","","","","","","","","","","","","","","","","","","","","18-01-1974","","","","","","",""
"","","","South Africa","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","25d51a2c3d6f6ab927ad1f458534f359","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kaap","","","","","","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","< august 1879","","c0ac7eb8ce3afdcbe1f03844e8f7d6be","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Malacca","","","","","< august 1879","","","","","","",""
"","","","India/Pakistan","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","eba96c6de71ac6b92efbac6da92791fd","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hindostan [W India/E Pakistan]","","","","","","","","","","","",""
"","","","Italy","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1899-01-01/1899-12-31","","a371408d1245f9b23620de65507d693b","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Cremona","","","","","","","","","","","","","","","","Cremona","","","","","1899","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","222bd0aba75712576c5749849f061e62","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Zuid Chili","","","","","","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","07-12-1930, On original label:\n7-12-30","","601461713f3c21f582d1a975d8635491","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Java","","Seneng","","","","","","","","","","","","","","","","Java, Semarang","","","","","07-12-1930, On original label:\n7-12-30","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","247e747795b2b387af50f2c7a751e704","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","",""
"","","","Hungary","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1908-06-02","","1e1e00c1db6f8968faf68f83b09ec42c","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Szigetcsep","","","","","","","","","","","","","","","","Pest","","","","","2/6/1908","","","","","","",""
"","","","Mexico","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","37093cd62680b710f04f30eb88ec49cd","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Veracruz, no further locality","","","","","","","","","","","","","","","","Veracruz","","","","","","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1918-03-15","","6c4442ff3e0e81e5c74f5ac647080bf7","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Eiland Edam","","","","","","","","","","","","","","","","","","Java","","","","","15-03-1918","","","","","","",""
"","","","Netherlands Antilles","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1951-10-30","","d69c2b26d20a4b0f0f7b019772977af2","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Curaçao","","Klein Sint Joris","","","","","","","","","","","","","","","","","","","","","30-10-1951","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1976-02-05","","d46a7fdd69d786510b59fe4ca0b71de4","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Hondsbossche Zeewering","","","","","","","","","","","","","","","","North Holland","","","","","5-2-1976","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1910-03-30","","3aef8a7608210626910edf5876f4037a","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Ambon","","","","","","","","","","","","","","","","","","Baai van Ambon","","","","","30-03-1910","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1863-07-19","","40f68cc3059750225707acddecda7116","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Guebeh","","","","","","","","","","","","","","","","","","","","","","","19-07-1863","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1913-02-24","","d77bc51a36f1f29f987f1b95ec5d27cf","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Simalur","","","","","","","","","","","","","","","","","","","","","","","24-02-1913","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1912-08-23","","87b8b65fafac5e64a921481f6838c01d","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Loosduinen","","","","","","","","","","","","","","","","South Holland","","","","","22 of 23-8-1912","","","","","","",""
"","","","Bolivia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","5a15827e43bf180debf2f0fa732e27d3","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1916-01-11","","66c82bbaf244ff4103daa005e6e755ee","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Westernieland","","","","","","","","","","","","","","","","Groningen","","","","","11-01-1916","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1940-03-06","","38232f69cccc00b7f143ccaec573150d","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Scheveningen","","","","","","","","","","","","","","","","South Holland","","","","","6-3-1940","","","","","","",""
"","","","Cuba","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1933-04-28","","6c65dfda1f16f59450c646809228da1a","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Camaguey","","","","","","","","","","","",""
