"higherClassificationName","higherClassificationRank","identificationID","scientificName","taxonID","taxonRank","taxonRemarks","taxonSortOrder"
"Animalia","dwc:kingdom","c68362689645a609c1ed95b4586ea238","Tanygnathus megalorynchos megalorynchos (Boddaert, 1783)","https://www.catalogueoflife.org/data/taxon/BP4H6","SUBSPECIES","",""
"Animalia","dwc:kingdom","0a6675d609663f396b6cee865cf9195f","Pelargopsis capensis simalurensis Richmond, 1903","https://www.catalogueoflife.org/data/taxon/BNSWJ","SUBSPECIES","",""
"Animalia","dwc:kingdom","a0e42c6f22b51894f2759fdf3df8fe1f","Charadriidae Leach, 1820","https://www.catalogueoflife.org/data/taxon/824","FAMILY","",""
"Animalia","dwc:kingdom","acfb72277ba32b130021fb255e919ce4","Mergus serrator Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/3ZTRQ","SPECIES","",""
"Animalia","dwc:kingdom","fe39942136994aa477a58403a1867046","Aythya marila marila (Linnaeus, 1761)","https://www.catalogueoflife.org/data/taxon/BN3FF","SUBSPECIES","",""
"Animalia","dwc:kingdom","fa601a23152ba978625489d787f1fbe2","Turdus plumbeus rubripes Temminck, 1826","https://www.catalogueoflife.org/data/taxon/BP6GC","SUBSPECIES","",""
"Animalia","dwc:kingdom","e4bf85d6dabc0970617ca3ff47faaa0e","Pachycephala macrorhyncha macrorhyncha Strickland, 1849","https://www.catalogueoflife.org/data/taxon/BNS27","SUBSPECIES","",""
"Animalia","dwc:kingdom","30e6376a9b6d1bd2786489fcb75ab61f","Charadrius morinellus Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMX9","SPECIES","",""
"Animalia","dwc:kingdom","6cf2198bac2fdc7c4f6939b82bc25d25","Apalharpactes reinwardtii (Temminck, 1822)","https://www.catalogueoflife.org/data/taxon/8VN38","SPECIES","",""
"Animalia","dwc:kingdom","2662832e943a88ef27f8601b6f8a36f6","Pluvialis squatarola squatarola (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/5KJ8F","SUBSPECIES","",""
"Animalia","dwc:kingdom","a5535c073a4b8af6fb5bf5d79e7b3f32","Ciconia ciconia ciconia (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/BN7FJ","SUBSPECIES","",""
