"MATERIALENTITYID","MEDIAID","MEDIASUBJECTCATEGORY","MEDIASUBJECTCATEGORYIRI","MEDIASUBJECTCATEGORYVOCABULARY"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.89179","https://doi.org/TEST/Q6S-K0H-XS5","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.134549","https://doi.org/TEST/RT5-A89-JMX","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.134549","https://doi.org/TEST/HPE-N1N-QRX","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.126199","https://doi.org/TEST/N9N-R3C-V35","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.126199","https://doi.org/TEST/C2T-FKE-3CN","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.146315","https://doi.org/TEST/6H1-3T2-MHM","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.146315","https://doi.org/TEST/MD9-WPP-ZWE","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.27974","https://doi.org/TEST/EYQ-H4D-HK3","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.27974","https://doi.org/TEST/LGC-TRA-EHK","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.122916","https://doi.org/TEST/FFH-4L4-YYH","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.122916","https://doi.org/TEST/ZJM-AFA-J5C","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.97775","https://doi.org/TEST/10A-3EA-FHS","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.97775","https://doi.org/TEST/LSQ-AHF-XS5","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.18641","https://doi.org/TEST/TR8-L2Z-TP4","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.18641","https://doi.org/TEST/XPJ-R73-TC7","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.134511","https://doi.org/TEST/R72-J0B-ZEF","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.134511","https://doi.org/TEST/H38-3RW-LRT","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.126748","https://doi.org/TEST/4WT-790-VPW","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.126748","https://doi.org/TEST/2AP-M63-5SX","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.95728","https://doi.org/TEST/GNL-17A-A71","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.95728","https://doi.org/TEST/SHX-PMN-EJW","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.136964","https://doi.org/TEST/D71-2WB-Q4C","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.136964","https://doi.org/TEST/W3X-80W-T61","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.150920","https://doi.org/TEST/ZTV-W5G-8T8","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.150920","https://doi.org/TEST/YLR-XWF-45B","","",""
