"basedOnMaterialEntityID","basedOnMediaID","basedOnNucleotideAnalysisID","basedOnNucleotideSequenceID","basedOnOccurrenceID","dateIdentified","higherClassificationName","higherClassificationRank","identificationID","identificationReferences","identificationRemarks","identificationType","identificationVerificationStatus","identifiedBy","identifiedByID","isAcceptedIdentification","scientificName","taxonAssignmentMethod","taxonFormula","taxonID","taxonRank","taxonRemarks","typeDesignationType","typeStatus","verbatimIdentification"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.198467","","","","","","","","d3e4118a4d84163a98ac18bc7670296d","","","MaterialEntity","","","","true","","","","","","","","","Asio flammeus flammeus (Pontopp.)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.126660","","","","","","","","01224d3fa1bdefd1da21abd196645e1b","","","MaterialEntity","","","","true","","","","","","","","","Hypsipetes virescens sumatranus (Wardlaw Ramsay, 1882)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.98105","","","","","","","","2168e11fda7caa0191485b817556dfb8","","","MaterialEntity","","","","true","","","","","","","","","Ploceus hypoxanthus hypoxanthus (Sparrman, 1788)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.48135","","","","","","","","60fcc70987661aa0a66bbbbf3a7779e4","","","MaterialEntity","","","","true","","","","","","","","","Platylophus galericulatus galericulatus (Cuvier, 1817)"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.59285","","","","","","","","42537e50bd27f7c0f51d8b53140c2bbb","","","MaterialEntity","","","","true","","","","","","","","","Charmosyna placentis intensior Kinnear, 1928"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.147655","","","","","","","","ccedae75d21dc42784206cf0542df86f","","","MaterialEntity","","","","true","","","","","","","","","Macronous gularis gularis (Horsfield, 1822)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.176672","","","","","","","","02981a0b60525eeed7d6216e8f152050","","","MaterialEntity","","","","true","","","","","","","","","Platysmurus ssp"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.56975","","","","","","","","819a6c3237c5066aac7e899c32f6b723","","","MaterialEntity","","","","true","","","","","","","","","Loxia curvirostra curvirostra Linnaeus, 1758"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.55236","","","","","","","","35e55a83b8e523b021a125fbefc5dc3f","","","MaterialEntity","","","","true","","","","","","","","","Crocethia alba (Pallas, 1764)"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.39356","","","","","","","","45184d3a58893d2889df0fc63189a0fe","","","MaterialEntity","","","","true","","","","","","","","","Larus glaucoides glaucoides Meyer, B., 1822"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.216677","","","","","","","","3cdc6946aaafc43a8322116d2021d41d","","","MaterialEntity","","","","true","","","","","","","","","Rhamphococcyx curvirostris erythrognatus (Bp.)"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.28242","","","","","","","","76aa636374428a7629bce56e238dcbfd","","","MaterialEntity","","","","true","","","","","","","","","Streptopelia chinensis tigrina (Temminck, 1810)"
