agent_id	identification_id	agent_role	agent_role_iri	agent_role_vocabulary	agent_role_order	agent_role_date
AVdP_specimen_identifier	AAV3FF_00120_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00121_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00123_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00124_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00001_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00002_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00003_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00004_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00005_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00125_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00126_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00130_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00132_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00133_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00134_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00135_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00136_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00137_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00139_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00140_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00141_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00142_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00143_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00144_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00145_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00146_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00147_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00148_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00149_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00150_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00151_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00154_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00155_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00156_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00157_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00158_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00159_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00160_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00161_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00162_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00163_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00164_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00165_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00166_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00167_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00168_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00169_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00170_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00171_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00006_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00007_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00172_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00173_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00174_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00175_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00176_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00177_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00178_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00179_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00008_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00181_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00182_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00183_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00184_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00185_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00186_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00196_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00197_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00198_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00199_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00201_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00202_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00203_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00204_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00205_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00206_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00207_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00208_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00209_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00210_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00211_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00212_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00213_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00214_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00215_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00216_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00217_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00218_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00219_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00220_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00221_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00222_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00223_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00224_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00227_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00228_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00229_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00230_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00231_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00232_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00233_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00234_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00235_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00236_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00237_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00238_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00239_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00240_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00241_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00009_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00010_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00011_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00012_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00013_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00014_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00015_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00244_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00247_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00248_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00249_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00250_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00251_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00252_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00253_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00016_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00254_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00255_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00256_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00257_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00258_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00259_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00260_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00261_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00262_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00263_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00264_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00265_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00266_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00267_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00268_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00017_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00269_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00270_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00271_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00272_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00273_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00274_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00275_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00276_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00277_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00278_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00279_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00018_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00281_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00282_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00283_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00284_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00285_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00286_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00287_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00288_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00289_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00290_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00291_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00292_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00293_ID	specimen identifier			1	
