occurrenceID	eventID	surveyTargetID	recordedBy	recordedByID	organismQuantity	organismQuantityType	lifeStage	occurrenceStatus	verbatimIdentification	identifiedBy	identifiedByID	taxonID	kingdom	scientificName	taxonRank
BROKE_WEST_RMT_086_RMT8_BROKE_WEST_RMT_086_RMT8_234695	BROKE_WEST_RMT_086_RMT8	BROKE_WEST_RMT_086_RMT8_234695	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_088_RMT8_BROKE_WEST_RMT_088_RMT8_217697	BROKE_WEST_RMT_088_RMT8	BROKE_WEST_RMT_088_RMT8_217697	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	4	individuals		detected	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_088_RMT8_BROKE_WEST_RMT_088_RMT8_217697_Larvae	BROKE_WEST_RMT_088_RMT8	BROKE_WEST_RMT_088_RMT8_217697_Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	3	individuals	Larvae	detected	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_088_RMT8_BROKE_WEST_RMT_088_RMT8_217697_Postmeta	BROKE_WEST_RMT_088_RMT8	BROKE_WEST_RMT_088_RMT8_217697_Postmeta	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual	Postmeta	detected	Electrona antarctica  Postmeta	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_089_RMT8_BROKE_WEST_RMT_089_RMT8_217697	BROKE_WEST_RMT_089_RMT8	BROKE_WEST_RMT_089_RMT8_217697	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals		detected	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_089_RMT8_BROKE_WEST_RMT_089_RMT8_217697_Larvae	BROKE_WEST_RMT_089_RMT8	BROKE_WEST_RMT_089_RMT8_217697_Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals	Larvae	detected	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_089_RMT8_BROKE_WEST_RMT_089_RMT8_234695	BROKE_WEST_RMT_089_RMT8	BROKE_WEST_RMT_089_RMT8_234695	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_094_RMT8_BROKE_WEST_RMT_094_RMT8_217697	BROKE_WEST_RMT_094_RMT8	BROKE_WEST_RMT_094_RMT8_217697	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_094_RMT8_BROKE_WEST_RMT_094_RMT8_217697_Larvae	BROKE_WEST_RMT_094_RMT8	BROKE_WEST_RMT_094_RMT8_217697_Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual	Larvae	detected	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_096_RMT8_BROKE_WEST_RMT_096_RMT8_234695	BROKE_WEST_RMT_096_RMT8	BROKE_WEST_RMT_096_RMT8_234695	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
