"assertionID"	"materialEntityID"	"assertionValueNumeric"	"assertionType"	"assertionUnit"
"P358.2BL"	"P358.2BL_preserved"	56	"dry weight biomass"	"mg"
"IM19_433"	"P358.2BL_pure"	12	"DNA concentration"	"ng/µl"
"P358.2BS"	"P358.2BS_preserved"	149	"dry weight biomass"	"mg"
"IM19_432"	"P358.2BS_pure"	59	"DNA concentration"	"ng/µl"
"P359.1AS"	"P359.1AS_preserved"	111	"dry weight biomass"	"mg"
"IM19_966"	"P359.1AS_pure"	47	"DNA concentration"	"ng/µl"
"P359.1BL"	"P359.1BL_preserved"	70	"dry weight biomass"	"mg"
"IM19_435"	"P359.1BL_pure"	10	"DNA concentration"	"ng/µl"
"P359.1BS"	"P359.1BS_preserved"	115	"dry weight biomass"	"mg"
"IM19_434"	"P359.1BS_pure"	53	"DNA concentration"	"ng/µl"
"P359.2AL"	"P359.2AL_preserved"	4	"dry weight biomass"	"mg"
"IM19_968"	"P359.2AL_pure"	1	"DNA concentration"	"ng/µl"
"P359.2AS"	"P359.2AS_preserved"	37	"dry weight biomass"	"mg"
"IM19_967"	"P359.2AS_pure"	35	"DNA concentration"	"ng/µl"
"P359.2BL"	"P359.2BL_preserved"	50	"dry weight biomass"	"mg"
"IM19_1174"	"P359.2BL_pure"	18	"DNA concentration"	"ng/µl"
"P359.2BS"	"P359.2BS_preserved"	193	"dry weight biomass"	"mg"
"IM19_1173"	"P359.2BS_pure"	57	"DNA concentration"	"ng/µl"
"P36.1AS"	"P36.1AS_preserved"	9	"dry weight biomass"	"mg"
"IM18_52"	"P36.1AS_pure"	1	"DNA concentration"	"ng/µl"
"P36.1BS"	"P36.1BS_preserved"	17	"dry weight biomass"	"mg"
"IM18_563"	"P36.1BS_pure"	12	"DNA concentration"	"ng/µl"
"P36.2AL"	"P36.2AL_preserved"	9	"dry weight biomass"	"mg"
"IM18_306"	"P36.2AL_pure"	1	"DNA concentration"	"ng/µl"
"P36.2AS"	"P36.2AS_preserved"	94	"dry weight biomass"	"mg"
"IM18_305"	"P36.2AS_pure"	37	"DNA concentration"	"ng/µl"
"P36.2BL"	"P36.2BL_preserved"	11	"dry weight biomass"	"mg"
"IM18_292"	"P36.2BL_pure"	6	"DNA concentration"	"ng/µl"
"P36.2BS"	"P36.2BS_preserved"	106	"dry weight biomass"	"mg"
"IM18_291"	"P36.2BS_pure"	41	"DNA concentration"	"ng/µl"
"P360.1AS"	"P360.1AS_preserved"	36	"dry weight biomass"	"mg"
"IM19_1175"	"P360.1AS_pure"	20	"DNA concentration"	"ng/µl"
"P360.1BL"	"P360.1BL_preserved"	14	"dry weight biomass"	"mg"
"IM19_1177"	"P360.1BL_pure"	7	"DNA concentration"	"ng/µl"
"P360.1BS"	"P360.1BS_preserved"	393	"dry weight biomass"	"mg"
"IM19_1176"	"P360.1BS_pure"	73	"DNA concentration"	"ng/µl"
"P360.2AL"	"P360.2AL_preserved"	31	"dry weight biomass"	"mg"
"IM19_970"	"P360.2AL_pure"	3	"DNA concentration"	"ng/µl"
"P360.2AS"	"P360.2AS_preserved"	111	"dry weight biomass"	"mg"
"IM19_969"	"P360.2AS_pure"	46	"DNA concentration"	"ng/µl"
"P360.2BS"	"P360.2BS_preserved"	61	"dry weight biomass"	"mg"
"IM19_436"	"P360.2BS_pure"	25	"DNA concentration"	"ng/µl"
"P361.1AS"	"P361.1AS_preserved"	19	"dry weight biomass"	"mg"
"IM19_971"	"P361.1AS_pure"	11	"DNA concentration"	"ng/µl"
"P361.1BS"	"P361.1BS_preserved"	29	"dry weight biomass"	"mg"
"IM19_437"	"P361.1BS_pure"	25	"DNA concentration"	"ng/µl"
"P361.2AS"	"P361.2AS_preserved"	26	"dry weight biomass"	"mg"
"IM19_1178"	"P361.2AS_pure"	20	"DNA concentration"	"ng/µl"
"P361.2BL"	"P361.2BL_preserved"	3	"dry weight biomass"	"mg"
"IM19_439"	"P361.2BL_pure"	1	"DNA concentration"	"ng/µl"
"P361.2BS"	"P361.2BS_preserved"	31	"dry weight biomass"	"mg"
"IM19_438"	"P361.2BS_pure"	15	"DNA concentration"	"ng/µl"
"P362.1AL"	"P362.1AL_preserved"	21	"dry weight biomass"	"mg"
"IM19_973"	"P362.1AL_pure"	30	"DNA concentration"	"ng/µl"
"P362.1AS"	"P362.1AS_preserved"	41	"dry weight biomass"	"mg"
"IM19_972"	"P362.1AS_pure"	31	"DNA concentration"	"ng/µl"
"P362.1BS"	"P362.1BS_preserved"	35	"dry weight biomass"	"mg"
"IM19_440"	"P362.1BS_pure"	38	"DNA concentration"	"ng/µl"
"P362.2AL"	"P362.2AL_preserved"	18	"dry weight biomass"	"mg"
"IM19_975"	"P362.2AL_pure"	4	"DNA concentration"	"ng/µl"
"P362.2AS"	"P362.2AS_preserved"	89	"dry weight biomass"	"mg"
"IM19_974"	"P362.2AS_pure"	43	"DNA concentration"	"ng/µl"
"P362.2BL"	"P362.2BL_preserved"	36	"dry weight biomass"	"mg"
"IM19_442"	"P362.2BL_pure"	14	"DNA concentration"	"ng/µl"
"P362.2BS"	"P362.2BS_preserved"	59	"dry weight biomass"	"mg"
"IM19_441"	"P362.2BS_pure"	43	"DNA concentration"	"ng/µl"
"P363.1AL"	"P363.1AL_preserved"	23	"dry weight biomass"	"mg"
"IM19_1180"	"P363.1AL_pure"	4	"DNA concentration"	"ng/µl"
"P363.1AS"	"P363.1AS_preserved"	243	"dry weight biomass"	"mg"
"IM19_1179"	"P363.1AS_pure"	58	"DNA concentration"	"ng/µl"
"IM19_1181"	"P363.1BS_pure"	43	"DNA concentration"	"ng/µl"
"IM19_1183"	"P363.2AL_pure"	11	"DNA concentration"	"ng/µl"
"IM19_1182"	"P363.2AS_pure"	80	"DNA concentration"	"ng/µl"
"IM19_1185"	"P363.2BL_pure"	4	"DNA concentration"	"ng/µl"
"IM19_1184"	"P363.2BS_pure"	51	"DNA concentration"	"ng/µl"
"P364.1AL"	"P364.1AL_preserved"	96	"dry weight biomass"	"mg"
"IM19_977"	"P364.1AL_pure"	5	"DNA concentration"	"ng/µl"
"P364.1AS"	"P364.1AS_preserved"	98	"dry weight biomass"	"mg"
"IM19_976"	"P364.1AS_pure"	44	"DNA concentration"	"ng/µl"
"P364.1BL"	"P364.1BL_preserved"	88	"dry weight biomass"	"mg"
"IM19_444"	"P364.1BL_pure"	1	"DNA concentration"	"ng/µl"
"P364.1BS"	"P364.1BS_preserved"	85	"dry weight biomass"	"mg"
"IM19_443"	"P364.1BS_pure"	60	"DNA concentration"	"ng/µl"
"P364.2AL"	"P364.2AL_preserved"	100	"dry weight biomass"	"mg"
"IM19_979"	"P364.2AL_pure"	14	"DNA concentration"	"ng/µl"
"P364.2AS"	"P364.2AS_preserved"	1197	"dry weight biomass"	"mg"
"IM19_978"	"P364.2AS_pure"	87	"DNA concentration"	"ng/µl"
"P364.2BL"	"P364.2BL_preserved"	18	"dry weight biomass"	"mg"
"IM19_446"	"P364.2BL_pure"	49	"DNA concentration"	"ng/µl"
"P364.2BS"	"P364.2BS_preserved"	168	"dry weight biomass"	"mg"
"IM19_445"	"P364.2BS_pure"	12	"DNA concentration"	"ng/µl"
"IM19_1187"	"P365.1AL_pure"	6	"DNA concentration"	"ng/µl"
"IM19_1186"	"P365.1AS_pure"	24	"DNA concentration"	"ng/µl"
"P365.1BL"	"P365.1BL_preserved"	22	"dry weight biomass"	"mg"
"IM19_1189"	"P365.1BL_pure"	5	"DNA concentration"	"ng/µl"
"P365.1BS"	"P365.1BS_preserved"	203	"dry weight biomass"	"mg"
"IM19_1188"	"P365.1BS_pure"	50	"DNA concentration"	"ng/µl"
"P365.2AL"	"P365.2AL_preserved"	41	"dry weight biomass"	"mg"
"IM19_981"	"P365.2AL_pure"	18	"DNA concentration"	"ng/µl"
"P365.2AS"	"P365.2AS_preserved"	89	"dry weight biomass"	"mg"
"IM19_980"	"P365.2AS_pure"	53	"DNA concentration"	"ng/µl"
"P365.2BL"	"P365.2BL_preserved"	112	"dry weight biomass"	"mg"
"IM19_448"	"P365.2BL_pure"	25	"DNA concentration"	"ng/µl"
"P365.2BS"	"P365.2BS_preserved"	54	"dry weight biomass"	"mg"
"IM19_447"	"P365.2BS_pure"	51	"DNA concentration"	"ng/µl"
"P366.1AS"	"P366.1AS_preserved"	110	"dry weight biomass"	"mg"
"IM19_982"	"P366.1AS_pure"	58	"DNA concentration"	"ng/µl"
"P366.1BS"	"P366.1BS_preserved"	64	"dry weight biomass"	"mg"
"IM19_449"	"P366.1BS_pure"	42	"DNA concentration"	"ng/µl"
"P366.2AS"	"P366.2AS_preserved"	80	"dry weight biomass"	"mg"
"IM19_983"	"P366.2AS_pure"	52	"DNA concentration"	"ng/µl"
"P366.2BL"	"P366.2BL_preserved"	94	"dry weight biomass"	"mg"
"IM19_451"	"P366.2BL_pure"	15	"DNA concentration"	"ng/µl"
"P366.2BS"	"P366.2BS_preserved"	88	"dry weight biomass"	"mg"
"IM19_450"	"P366.2BS_pure"	48	"DNA concentration"	"ng/µl"
"P368.1AS"	"P368.1AS_preserved"	68	"dry weight biomass"	"mg"
"IM19_1190"	"P368.1AS_pure"	37	"DNA concentration"	"ng/µl"
"P368.1BS"	"P368.1BS_preserved"	140	"dry weight biomass"	"mg"
"IM19_452"	"P368.1BS_pure"	59	"DNA concentration"	"ng/µl"
"P368.2AS"	"P368.2AS_preserved"	44	"dry weight biomass"	"mg"
"IM19_1191"	"P368.2AS_pure"	25	"DNA concentration"	"ng/µl"
"P368.2BL"	"P368.2BL_preserved"	6	"dry weight biomass"	"mg"
"IM19_1193"	"P368.2BL_pure"	5	"DNA concentration"	"ng/µl"
"P368.2BS"	"P368.2BS_preserved"	83	"dry weight biomass"	"mg"
"IM19_1192"	"P368.2BS_pure"	41	"DNA concentration"	"ng/µl"
"P369.1AL"	"P369.1AL_preserved"	33	"dry weight biomass"	"mg"
"IM19_985"	"P369.1AL_pure"	21	"DNA concentration"	"ng/µl"
"P369.1AS"	"P369.1AS_preserved"	143	"dry weight biomass"	"mg"
"IM19_984"	"P369.1AS_pure"	42	"DNA concentration"	"ng/µl"
"P369.1BL"	"P369.1BL_preserved"	35	"dry weight biomass"	"mg"
"IM19_454"	"P369.1BL_pure"	14	"DNA concentration"	"ng/µl"
"P369.1BS"	"P369.1BS_preserved"	1153	"dry weight biomass"	"mg"
"IM19_453"	"P369.1BS_pure"	68	"DNA concentration"	"ng/µl"
"P369.2AS"	"P369.2AS_preserved"	45	"dry weight biomass"	"mg"
"IM19_986"	"P369.2AS_pure"	46	"DNA concentration"	"ng/µl"
"P369.2BS"	"P369.2BS_preserved"	50	"dry weight biomass"	"mg"
"IM19_455"	"P369.2BS_pure"	39	"DNA concentration"	"ng/µl"
"P37.1AS"	"P37.1AS_preserved"	40	"dry weight biomass"	"mg"
"IM18_746"	"P37.1AS_pure"	22	"DNA concentration"	"ng/µl"
"P37.1BS"	"P37.1BS_preserved"	78	"dry weight biomass"	"mg"
"IM18_307"	"P37.1BS_pure"	37	"DNA concentration"	"ng/µl"
"P37.2AL"	"P37.2AL_preserved"	27	"dry weight biomass"	"mg"
"IM18_309"	"P37.2AL_pure"	9	"DNA concentration"	"ng/µl"
"P37.2AS"	"P37.2AS_preserved"	52	"dry weight biomass"	"mg"
"IM18_308"	"P37.2AS_pure"	31	"DNA concentration"	"ng/µl"
"P370.1AL"	"P370.1AL_preserved"	59	"dry weight biomass"	"mg"
"IM19_988"	"P370.1AL_pure"	8	"DNA concentration"	"ng/µl"
"P370.1AS"	"P370.1AS_preserved"	149	"dry weight biomass"	"mg"
"IM19_987"	"P370.1AS_pure"	58	"DNA concentration"	"ng/µl"
"P370.1BL"	"P370.1BL_preserved"	29	"dry weight biomass"	"mg"
"IM19_457"	"P370.1BL_pure"	4	"DNA concentration"	"ng/µl"
"P370.1BS"	"P370.1BS_preserved"	93	"dry weight biomass"	"mg"
"IM19_456"	"P370.1BS_pure"	43	"DNA concentration"	"ng/µl"
"P370.2AL"	"P370.2AL_preserved"	34	"dry weight biomass"	"mg"
"IM19_990"	"P370.2AL_pure"	1	"DNA concentration"	"ng/µl"
"P370.2AS"	"P370.2AS_preserved"	10	"dry weight biomass"	"mg"
"IM19_989"	"P370.2AS_pure"	55	"DNA concentration"	"ng/µl"
"P370.2BL"	"P370.2BL_preserved"	11	"dry weight biomass"	"mg"
"IM19_459"	"P370.2BL_pure"	4	"DNA concentration"	"ng/µl"
"P370.2BS"	"P370.2BS_preserved"	76	"dry weight biomass"	"mg"
"IM19_458"	"P370.2BS_pure"	53	"DNA concentration"	"ng/µl"
"P371.1AL"	"P371.1AL_preserved"	13	"dry weight biomass"	"mg"
"IM19_992"	"P371.1AL_pure"	10	"DNA concentration"	"ng/µl"
"P371.1AS"	"P371.1AS_preserved"	63	"dry weight biomass"	"mg"
"IM19_991"	"P371.1AS_pure"	54	"DNA concentration"	"ng/µl"
"P371.1BS"	"P371.1BS_preserved"	225	"dry weight biomass"	"mg"
"IM19_460"	"P371.1BS_pure"	106	"DNA concentration"	"ng/µl"
"IM19_994"	"P371.2AL_pure"	25	"DNA concentration"	"ng/µl"
"IM19_993"	"P371.2AS_pure"	28	"DNA concentration"	"ng/µl"
"P371.2BL"	"P371.2BL_preserved"	89	"dry weight biomass"	"mg"
"IM19_462"	"P371.2BL_pure"	13	"DNA concentration"	"ng/µl"
"P371.2BS"	"P371.2BS_preserved"	255	"dry weight biomass"	"mg"
"IM19_461"	"P371.2BS_pure"	109	"DNA concentration"	"ng/µl"
"IM19_996"	"P372.1AL_pure"	6	"DNA concentration"	"ng/µl"
"P372.1AS"	"P372.1AS_preserved"	137	"dry weight biomass"	"mg"
"IM19_995"	"P372.1AS_pure"	48	"DNA concentration"	"ng/µl"
"P372.1BL"	"P372.1BL_preserved"	50	"dry weight biomass"	"mg"
"IM19_464"	"P372.1BL_pure"	6	"DNA concentration"	"ng/µl"
"P372.1BS"	"P372.1BS_preserved"	958	"dry weight biomass"	"mg"
"IM19_463"	"P372.1BS_pure"	88	"DNA concentration"	"ng/µl"
"IM19_997"	"P372.2AS_pure"	17	"DNA concentration"	"ng/µl"
"P372.2BS"	"P372.2BS_preserved"	47	"dry weight biomass"	"mg"
"IM19_465"	"P372.2BS_pure"	33	"DNA concentration"	"ng/µl"
"IM19_999"	"P373.1AL_pure"	1	"DNA concentration"	"ng/µl"
"P373.1AS"	"P373.1AS_preserved"	32	"dry weight biomass"	"mg"
"IM19_998"	"P373.1AS_pure"	29	"DNA concentration"	"ng/µl"
"P373.1BL"	"P373.1BL_preserved"	100	"dry weight biomass"	"mg"
"IM19_467"	"P373.1BL_pure"	10	"DNA concentration"	"ng/µl"
"P373.1BS"	"P373.1BS_preserved"	185	"dry weight biomass"	"mg"
"IM19_466"	"P373.1BS_pure"	148	"DNA concentration"	"ng/µl"
"IM19_1194"	"P373.2AS_pure"	13	"DNA concentration"	"ng/µl"
"IM19_1195"	"P373.2BS_pure"	14	"DNA concentration"	"ng/µl"
"P374.1AL"	"P374.1AL_preserved"	42	"dry weight biomass"	"mg"
"IM19_1001"	"P374.1AL_pure"	14	"DNA concentration"	"ng/µl"
"P374.1AS"	"P374.1AS_preserved"	150	"dry weight biomass"	"mg"
"IM19_1000"	"P374.1AS_pure"	45	"DNA concentration"	"ng/µl"
"P374.1BS"	"P374.1BS_preserved"	62	"dry weight biomass"	"mg"
"IM19_468"	"P374.1BS_pure"	33	"DNA concentration"	"ng/µl"
"P374.2AL"	"P374.2AL_preserved"	2	"dry weight biomass"	"mg"
"IM19_1003"	"P374.2AL_pure"	1	"DNA concentration"	"ng/µl"
"P374.2AS"	"P374.2AS_preserved"	249	"dry weight biomass"	"mg"
"IM19_1002"	"P374.2AS_pure"	51	"DNA concentration"	"ng/µl"
"P374.2BL"	"P374.2BL_preserved"	5	"dry weight biomass"	"mg"
"IM19_470"	"P374.2BL_pure"	6	"DNA concentration"	"ng/µl"
"P374.2BS"	"P374.2BS_preserved"	168	"dry weight biomass"	"mg"
"IM19_469"	"P374.2BS_pure"	54	"DNA concentration"	"ng/µl"
"P375.1AL"	"P375.1AL_preserved"	17	"dry weight biomass"	"mg"
"IM19_1005"	"P375.1AL_pure"	10	"DNA concentration"	"ng/µl"
"P375.1AS"	"P375.1AS_preserved"	48	"dry weight biomass"	"mg"
"IM19_1004"	"P375.1AS_pure"	40	"DNA concentration"	"ng/µl"
"P375.1BL"	"P375.1BL_preserved"	4	"dry weight biomass"	"mg"
"IM19_472"	"P375.1BL_pure"	1	"DNA concentration"	"ng/µl"
"P375.1BS"	"P375.1BS_preserved"	57	"dry weight biomass"	"mg"
"IM19_471"	"P375.1BS_pure"	36	"DNA concentration"	"ng/µl"
"IM19_1007"	"P375.2AL_pure"	8	"DNA concentration"	"ng/µl"
"P375.2AS"	"P375.2AS_preserved"	8	"dry weight biomass"	"mg"
"IM19_1006"	"P375.2AS_pure"	14	"DNA concentration"	"ng/µl"
"P375.2BL"	"P375.2BL_preserved"	27	"dry weight biomass"	"mg"
"IM19_474"	"P375.2BL_pure"	4	"DNA concentration"	"ng/µl"
"P375.2BS"	"P375.2BS_preserved"	215	"dry weight biomass"	"mg"
"IM19_473"	"P375.2BS_pure"	144	"DNA concentration"	"ng/µl"
"P376.1AL"	"P376.1AL_preserved"	506	"dry weight biomass"	"mg"
"IM19_1197"	"P376.1AL_pure"	59	"DNA concentration"	"ng/µl"
"P376.1AS"	"P376.1AS_preserved"	234	"dry weight biomass"	"mg"
"IM19_1196"	"P376.1AS_pure"	56	"DNA concentration"	"ng/µl"
"P376.1BL"	"P376.1BL_preserved"	95	"dry weight biomass"	"mg"
"IM19_476"	"P376.1BL_pure"	17	"DNA concentration"	"ng/µl"
"P376.1BS"	"P376.1BS_preserved"	1027	"dry weight biomass"	"mg"
"IM19_475"	"P376.1BS_pure"	56	"DNA concentration"	"ng/µl"
"IM19_1009"	"P376.2AL_pure"	29	"DNA concentration"	"ng/µl"
"P376.2AS"	"P376.2AS_preserved"	19	"dry weight biomass"	"mg"
"IM19_1008"	"P376.2AS_pure"	48	"DNA concentration"	"ng/µl"
"P376.2BL"	"P376.2BL_preserved"	109	"dry weight biomass"	"mg"
"IM19_478"	"P376.2BL_pure"	28	"DNA concentration"	"ng/µl"
"P376.2BS"	"P376.2BS_preserved"	54	"dry weight biomass"	"mg"
"IM19_477"	"P376.2BS_pure"	41	"DNA concentration"	"ng/µl"
"P377.1AS"	"P377.1AS_preserved"	35	"dry weight biomass"	"mg"
"IM19_1010"	"P377.1AS_pure"	51	"DNA concentration"	"ng/µl"
"P377.1BS"	"P377.1BS_preserved"	42	"dry weight biomass"	"mg"
"IM19_479"	"P377.1BS_pure"	26	"DNA concentration"	"ng/µl"
"P377.2AL"	"P377.2AL_preserved"	108	"dry weight biomass"	"mg"
"IM19_1012"	"P377.2AL_pure"	10	"DNA concentration"	"ng/µl"
"P377.2AS"	"P377.2AS_preserved"	65	"dry weight biomass"	"mg"
"IM19_1011"	"P377.2AS_pure"	54	"DNA concentration"	"ng/µl"
"P377.2BL"	"P377.2BL_preserved"	60	"dry weight biomass"	"mg"
"IM19_481"	"P377.2BL_pure"	6	"DNA concentration"	"ng/µl"
"P377.2BS"	"P377.2BS_preserved"	80	"dry weight biomass"	"mg"
"IM19_480"	"P377.2BS_pure"	41	"DNA concentration"	"ng/µl"
"P378.1AL"	"P378.1AL_preserved"	159	"dry weight biomass"	"mg"
"IM19_1014"	"P378.1AL_pure"	48	"DNA concentration"	"ng/µl"
"P378.1AS"	"P378.1AS_preserved"	10	"dry weight biomass"	"mg"
"IM19_1013"	"P378.1AS_pure"	49	"DNA concentration"	"ng/µl"
"P378.1BL"	"P378.1BL_preserved"	9	"dry weight biomass"	"mg"
"IM19_483"	"P378.1BL_pure"	3	"DNA concentration"	"ng/µl"
"P378.1BS"	"P378.1BS_preserved"	172	"dry weight biomass"	"mg"
"IM19_482"	"P378.1BS_pure"	75	"DNA concentration"	"ng/µl"
"P378.2AL"	"P378.2AL_preserved"	49	"dry weight biomass"	"mg"
"IM19_1016"	"P378.2AL_pure"	14	"DNA concentration"	"ng/µl"
"P378.2AS"	"P378.2AS_preserved"	24	"dry weight biomass"	"mg"
"IM19_1015"	"P378.2AS_pure"	43	"DNA concentration"	"ng/µl"
"P378.2BL"	"P378.2BL_preserved"	37	"dry weight biomass"	"mg"
"IM19_485"	"P378.2BL_pure"	7	"DNA concentration"	"ng/µl"
"P378.2BS"	"P378.2BS_preserved"	203	"dry weight biomass"	"mg"
"IM19_484"	"P378.2BS_pure"	68	"DNA concentration"	"ng/µl"
"P379.1AL"	"P379.1AL_preserved"	32	"dry weight biomass"	"mg"
"IM19_1018"	"P379.1AL_pure"	6	"DNA concentration"	"ng/µl"
"P379.1AS"	"P379.1AS_preserved"	16	"dry weight biomass"	"mg"
"IM19_1017"	"P379.1AS_pure"	40	"DNA concentration"	"ng/µl"
"P379.1BS"	"P379.1BS_preserved"	14	"dry weight biomass"	"mg"
"IM19_486"	"P379.1BS_pure"	7	"DNA concentration"	"ng/µl"
"P379.2AL"	"P379.2AL_preserved"	62	"dry weight biomass"	"mg"
"IM19_1199"	"P379.2AL_pure"	13	"DNA concentration"	"ng/µl"
"P379.2AS"	"P379.2AS_preserved"	47	"dry weight biomass"	"mg"
"IM19_1198"	"P379.2AS_pure"	22	"DNA concentration"	"ng/µl"
"P379.2BS"	"P379.2BS_preserved"	88	"dry weight biomass"	"mg"
"IM19_487"	"P379.2BS_pure"	45	"DNA concentration"	"ng/µl"
"P38.1AS"	"P38.1AS_preserved"	45	"dry weight biomass"	"mg"
"IM18_53"	"P38.1AS_pure"	33	"DNA concentration"	"ng/µl"
"P38.1BL"	"P38.1BL_preserved"	65	"dry weight biomass"	"mg"
"IM18_56"	"P38.1BL_pure"	19	"DNA concentration"	"ng/µl"
"P38.1BS"	"P38.1BS_preserved"	53	"dry weight biomass"	"mg"
"IM18_55"	"P38.1BS_pure"	21	"DNA concentration"	"ng/µl"
"P38.2AL"	"P38.2AL_preserved"	14	"dry weight biomass"	"mg"
"IM18_58"	"P38.2AL_pure"	1	"DNA concentration"	"ng/µl"
"P38.2AS"	"P38.2AS_preserved"	19	"dry weight biomass"	"mg"
"IM18_57"	"P38.2AS_pure"	8	"DNA concentration"	"ng/µl"
"P38.2BL"	"P38.2BL_preserved"	74	"dry weight biomass"	"mg"
"IM18_60"	"P38.2BL_pure"	4	"DNA concentration"	"ng/µl"
"P38.2BS"	"P38.2BS_preserved"	15	"dry weight biomass"	"mg"
"IM18_59"	"P38.2BS_pure"	4	"DNA concentration"	"ng/µl"
"P380.1AL"	"P380.1AL_preserved"	10	"dry weight biomass"	"mg"
"IM19_1020"	"P380.1AL_pure"	9	"DNA concentration"	"ng/µl"
"P380.1AS"	"P380.1AS_preserved"	68	"dry weight biomass"	"mg"
"IM19_1019"	"P380.1AS_pure"	46	"DNA concentration"	"ng/µl"
"P380.1BL"	"P380.1BL_preserved"	45	"dry weight biomass"	"mg"
"IM19_489"	"P380.1BL_pure"	7	"DNA concentration"	"ng/µl"
"P380.1BS"	"P380.1BS_preserved"	200	"dry weight biomass"	"mg"
"IM19_488"	"P380.1BS_pure"	75	"DNA concentration"	"ng/µl"
"IM19_1022"	"P380.2AL_pure"	4	"DNA concentration"	"ng/µl"
"P380.2AS"	"P380.2AS_preserved"	38	"dry weight biomass"	"mg"
"IM19_1021"	"P380.2AS_pure"	45	"DNA concentration"	"ng/µl"
"P380.2BS"	"P380.2BS_preserved"	158	"dry weight biomass"	"mg"
"IM19_490"	"P380.2BS_pure"	68	"DNA concentration"	"ng/µl"
"P381.1AL"	"P381.1AL_preserved"	315	"dry weight biomass"	"mg"
"IM19_1024"	"P381.1AL_pure"	7	"DNA concentration"	"ng/µl"
"P381.1AS"	"P381.1AS_preserved"	44	"dry weight biomass"	"mg"
"IM19_1023"	"P381.1AS_pure"	35	"DNA concentration"	"ng/µl"
"P381.1BL"	"P381.1BL_preserved"	47	"dry weight biomass"	"mg"
"IM19_492"	"P381.1BL_pure"	12	"DNA concentration"	"ng/µl"
"P381.1BS"	"P381.1BS_preserved"	48	"dry weight biomass"	"mg"
"IM19_491"	"P381.1BS_pure"	39	"DNA concentration"	"ng/µl"
"P381.2AL"	"P381.2AL_preserved"	210	"dry weight biomass"	"mg"
"IM19_1026"	"P381.2AL_pure"	38	"DNA concentration"	"ng/µl"
"P381.2AS"	"P381.2AS_preserved"	97	"dry weight biomass"	"mg"
"IM19_1025"	"P381.2AS_pure"	46	"DNA concentration"	"ng/µl"
"P381.2BL"	"P381.2BL_preserved"	90	"dry weight biomass"	"mg"
"IM19_494"	"P381.2BL_pure"	9	"DNA concentration"	"ng/µl"
"P381.2BS"	"P381.2BS_preserved"	1302	"dry weight biomass"	"mg"
"IM19_493"	"P381.2BS_pure"	122	"DNA concentration"	"ng/µl"
"IM19_1201"	"P382.1AL_pure"	7	"DNA concentration"	"ng/µl"
"IM19_1200"	"P382.1AS_pure"	43	"DNA concentration"	"ng/µl"
"IM19_1202"	"P382.1BS_pure"	21	"DNA concentration"	"ng/µl"
"P382.2AS"	"P382.2AS_preserved"	6	"dry weight biomass"	"mg"
"IM19_1027"	"P382.2AS_pure"	24	"DNA concentration"	"ng/µl"
"P382.2BS"	"P382.2BS_preserved"	25	"dry weight biomass"	"mg"
"IM19_495"	"P382.2BS_pure"	19	"DNA concentration"	"ng/µl"
"P385.1AL"	"P385.1AL_preserved"	20	"dry weight biomass"	"mg"
"IM19_1029"	"P385.1AL_pure"	3	"DNA concentration"	"ng/µl"
"P385.1AS"	"P385.1AS_preserved"	484	"dry weight biomass"	"mg"
"IM19_1028"	"P385.1AS_pure"	82	"DNA concentration"	"ng/µl"
"P385.1BL"	"P385.1BL_preserved"	263	"dry weight biomass"	"mg"
"IM19_497"	"P385.1BL_pure"	20	"DNA concentration"	"ng/µl"
"P385.1BS"	"P385.1BS_preserved"	717	"dry weight biomass"	"mg"
"IM19_496"	"P385.1BS_pure"	103	"DNA concentration"	"ng/µl"
"P385.2AL"	"P385.2AL_preserved"	24	"dry weight biomass"	"mg"
"IM19_1031"	"P385.2AL_pure"	7	"DNA concentration"	"ng/µl"
"P385.2AS"	"P385.2AS_preserved"	57	"dry weight biomass"	"mg"
"IM19_1030"	"P385.2AS_pure"	46	"DNA concentration"	"ng/µl"
"P385.2BL"	"P385.2BL_preserved"	17	"dry weight biomass"	"mg"
"IM19_499"	"P385.2BL_pure"	11	"DNA concentration"	"ng/µl"
"P385.2BS"	"P385.2BS_preserved"	37	"dry weight biomass"	"mg"
"IM19_498"	"P385.2BS_pure"	30	"DNA concentration"	"ng/µl"
"P386.1AL"	"P386.1AL_preserved"	10	"dry weight biomass"	"mg"
"IM19_1033"	"P386.1AL_pure"	3	"DNA concentration"	"ng/µl"
"P386.1AS"	"P386.1AS_preserved"	28	"dry weight biomass"	"mg"
"IM19_1032"	"P386.1AS_pure"	34	"DNA concentration"	"ng/µl"
"P386.1BL"	"P386.1BL_preserved"	8	"dry weight biomass"	"mg"
"IM19_501"	"P386.1BL_pure"	3	"DNA concentration"	"ng/µl"
"P386.1BS"	"P386.1BS_preserved"	179	"dry weight biomass"	"mg"
"IM19_500"	"P386.1BS_pure"	56	"DNA concentration"	"ng/µl"
"P386.2AS"	"P386.2AS_preserved"	55	"dry weight biomass"	"mg"
"IM19_1075"	"P386.2AS_pure"	25	"DNA concentration"	"ng/µl"
"P386.2BS"	"P386.2BS_preserved"	29	"dry weight biomass"	"mg"
"IM19_502"	"P386.2BS_pure"	13	"DNA concentration"	"ng/µl"
"P388.1AS"	"P388.1AS_preserved"	22	"dry weight biomass"	"mg"
"IM19_1034"	"P388.1AS_pure"	33	"DNA concentration"	"ng/µl"
