"mediaID"	"mediaType"	"accessURI"	"format"	"rights"	"Owner"	"mediaDescription"
"P100.1BS_00L32S_16S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_16SP100.1BS_wet_2018_00L32S_16S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_17S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_17SP100.1BS_wet_2018_00L32S_17S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_18S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_18SP100.1BS_wet_2018_00L32S_18S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_19S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_19SP100.1BS_wet_2018_00L32S_19S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_20S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_20SP100.1BS_wet_2018_00L32S_20S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_21S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_21SP100.1BS_wet_2018_00L32S_21S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_22S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_22SP100.1BS_wet_2018_00L32S_22S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_23S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_23SP100.1BS_wet_2018_00L32S_23S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_24S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_24SP100.1BS_wet_2018_00L32S_24S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_25S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_25SP100.1BS_wet_2018_00L32S_25S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_26S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_26SP100.1BS_wet_2018_00L32S_26S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_27S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_27SP100.1BS_wet_2018_00L32S_27S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_28S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_28SP100.1BS_wet_2018_00L32S_28S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_29S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_29SP100.1BS_wet_2018_00L32S_29S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P100.1BS_00L32S_30S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP100.1BSP100.1BS_00L32S_30SP100.1BS_wet_2018_00L32S_30S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
