"uid","domainID","siteID","namedLocation","passStartTime","passEndTime","eventID","passNumber","specimenNumber","taxonID","scientificName","taxonRank","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","fishTotalLength","fishWeight","delt","efMortality","efInjury","fishLifeStage","sampleTypeCollected","voucherSampleID","dnaSampleID","identifiedBy","remarks","publicationDate","release"
"155b52af-189b-4320-a6e8-69de2112a810","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 21:33:00,2019-04-22 22:33:00,"BIGC.20190422.01.2.e-fisher",2,3,"SALTRU","Salmo trutta","species",NA,NA,NA,121,18,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"c5a62467-494b-4571-bd8a-3402d0c2ecfa","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 23:00:00,2019-04-23 00:05:00,"BIGC.20190422.01.3.e-fisher",3,1,"SALSP2","Salmonidae sp.","family",NA,NA,NA,102,11,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"120f5e9f-1d0e-4fe0-8ff0-07dbeb652cfb","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 23:00:00,2019-04-23 00:05:00,"BIGC.20190422.01.3.e-fisher",3,2,"SALTRU","Salmo trutta","species",NA,NA,NA,116,10,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"fdf068ab-5743-4105-8f06-24b06d11368a","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 23:00:00,2019-04-23 00:05:00,"BIGC.20190422.01.3.e-fisher",3,3,"SALTRU","Salmo trutta","species",NA,NA,NA,96,8,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"3f682483-9b82-4a3d-b198-2389579485f6","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 23:00:00,2019-04-23 00:05:00,"BIGC.20190422.01.3.e-fisher",3,8,"SALTRU","Salmo trutta","species",NA,NA,NA,112,12,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"917f70bb-c487-4b5d-a09a-e9c1fa910949","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 23:00:00,2019-04-23 00:05:00,"BIGC.20190422.01.3.e-fisher",3,7,"SALSP2","Salmonidae sp.","family",NA,NA,NA,90,8,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"2b7c56b5-5dea-4b88-8797-ae692c7760e3","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 23:00:00,2019-04-23 00:05:00,"BIGC.20190422.01.3.e-fisher",3,6,"SALTRU","Salmo trutta","species",NA,NA,NA,106,12,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"c802a776-d1b5-431f-bfcc-40ee6608ac08","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 23:00:00,2019-04-23 00:05:00,"BIGC.20190422.01.3.e-fisher",3,9,"SALTRU","Salmo trutta","species",NA,NA,NA,205,79,NA,NA,NA,"adult","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"ff4b4492-2e57-48d5-b941-33ada4863939","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 23:00:00,2019-04-23 00:05:00,"BIGC.20190422.01.3.e-fisher",3,4,"SALTRU","Salmo trutta","species",NA,NA,NA,228,116,NA,NA,NA,"adult","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"2aa28faa-ff62-4f54-b2b2-2cc521afeff7","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 23:00:00,2019-04-23 00:05:00,"BIGC.20190422.01.3.e-fisher",3,10,"SALTRU","Salmo trutta","species",NA,NA,NA,196,68,NA,"Y",NA,"adult","voucher sample only","FSH.BIGC.01.20190422.3.0010",NA,"0000-0001-7072-0706","Stuck in rocks. Over shocked","20231227T174945Z","RELEASE-2024"
