identificationID	agentID	agentRole
AAV3FF_00168_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00169_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00170_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00171_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00006_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00007_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00172_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00173_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00174_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00175_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00176_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00177_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00178_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00179_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00008_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00181_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00182_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00183_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00184_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00185_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00186_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00196_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00197_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00198_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00199_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00201_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00202_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00203_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00204_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00205_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00206_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00207_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00208_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00209_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00210_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00211_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00212_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00213_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00214_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00215_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00216_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00217_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00218_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00219_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00220_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00221_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00222_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00223_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00224_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00227_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00228_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00229_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00230_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00231_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00232_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00233_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00234_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00235_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00236_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00237_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00238_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00239_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00240_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00241_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00009_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00010_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00011_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00012_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00013_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00014_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00015_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00244_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00247_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00248_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00249_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00250_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00251_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00252_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00253_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00016_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00254_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00255_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00256_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00257_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00258_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00259_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00260_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00261_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00262_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00263_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00264_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00265_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00266_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00267_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00268_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00017_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00269_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00270_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00271_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00272_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00273_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00274_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00275_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00276_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00277_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00278_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00279_ID	AVdP_specimen_identifier	specimen identifier
AAV3FP_00018_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00281_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00282_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00283_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00284_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00285_ID	AVdP_specimen_identifier	specimen identifier
AAV3FF_00286_ID	AVdP_specimen_identifier	specimen identifier
