occurrenceID	eventID	recordedBy	recordedByID	organismQuantity	organismQuantityType	lifeStage	occurrenceStatus	verbatimIdentification	identifiedBy	identifiedByID	taxonID	kingdom	scientificName	taxonRank
BROKE_WEST_RMT_061_RMT8_217697_Larvae	BROKE_WEST_RMT_061_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals	Larvae	present	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_066_RMT8_1	BROKE_WEST_RMT_066_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Biota sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:1		Biota	Superdomain
BROKE_WEST_RMT_069_RMT8_217697	BROKE_WEST_RMT_069_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	5	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_069_RMT8_217697_Larvae	BROKE_WEST_RMT_069_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	5	individuals	Larvae	present	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_069_RMT8_234695	BROKE_WEST_RMT_069_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_072_RMT8_217697	BROKE_WEST_RMT_072_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_072_RMT8_217697_Larvae	BROKE_WEST_RMT_072_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals	Larvae	present	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_077_RMT8_234695	BROKE_WEST_RMT_077_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_077_RMT8_234721	BROKE_WEST_RMT_077_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234721	Animalia	Pleuragramma antarcticum	Species
BROKE_WEST_RMT_079_RMT8_217697	BROKE_WEST_RMT_079_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_079_RMT8_217697_Postmeta	BROKE_WEST_RMT_079_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals	Postmeta	present	Electrona antarctica  Postmeta	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_081_RMT8_234582	BROKE_WEST_RMT_081_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individuals		present	Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234582	Animalia	Chionodraco	Genus
BROKE_WEST_RMT_087_RMT8_217697	BROKE_WEST_RMT_087_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals		present	Electrona antarctica all	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_087_RMT8_217697_Larvae	BROKE_WEST_RMT_087_RMT8	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	2	individuals	Larvae	present	Electrona antarctica Larvae	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
