assertion_id	event_id	assertion_type	assertion_type_iri	assertion_type_vocabulary	assertion_made_date	assertion_effective_date	assertion_value	assertion_value_iri	assertion_value_vocabulary	assertion_value_numeric	assertion_unit	assertion_unit_iri	assertion_unit_vocabulary	assertion_by	assertion_by_id	assertion_protocol	assertion_protocol_id	assertion_citation	assertion_remarks
59c01063-a623-4120-9be2-01e04b3a9049	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
c4c410fe-cd61-48a1-99d2-668f2d25f15f	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
55fff977-8314-489c-938e-886227be1a0c	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
3ec5abeb-91f0-49ae-acda-db8e3e931f13	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
c331c27f-4f92-48e4-9e2a-0dbed3b9bed8	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
8eec84ce-3903-420e-a720-e2fb4d6911dd	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
6a0e2f53-70c2-4a62-bbb9-d924f2298db8	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
b059abe3-2332-4c4a-81a5-76cbe606e7b9	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
72d8c3c4-79c8-4f72-a91a-1e4b3a9d5b79	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
e4070c91-7eb6-4646-b986-13ee0e316b25	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
b0864b06-b4b9-448b-8ca3-f67e5aa61aa7	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
071e1aa6-b491-45be-9db4-72148d5627bb	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
f5e4745f-cea3-4def-9e82-8273368638dc	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
05bf7086-782a-45b3-856c-4f48cfb64f22	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
9118a9c0-e4dd-4e96-b942-8207ab9e728a	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
1a367c5e-191e-4918-9cfc-da1e5e70b736	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
b2a62515-beb8-49d6-af65-30df0814c843	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
5d7415fe-ed3f-453b-9d08-b7a7cf68778c	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
bdd61b50-aff2-4867-88ab-bbdb07854cfe	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
19d89a83-089a-43e0-a658-4f7a50c5fc56	BIGC.20191024.08.1.e-fisher	Number of the sampling pass within a reach								1									
