event_id	parent_event_id	preferred_event_name	event_category	event_type	dataset_name	dataset_id	field_number	event_conducted_by	event_conducted_by_id	event_date	event_time	start_day_of_year	end_day_of_year	year	month	day	verbatim_event_date	verbatim_locality	verbatim_elevation	verbatim_depth	verbatim_coordinates	verbatim_latitude	verbatim_longitude	verbatim_coordinate_system	verbatim_srs	georeference_verification_status	habitat	event_effort	field_notes	event_references	event_remarks	location_id	higher_geography_id	higher_geography	continent	water_body	island_group	island	country	country_code	state_province	county	municipality	locality	site_number	minimum_elevation_in_meters	maximum_elevation_in_meters	vertical_datum	minimum_depth_in_meters	maximum_depth_in_meters	minimum_distance_above_surface_in_meters	maximum_distance_above_surface_in_meters	location_remarks	decimal_latitude	decimal_longitude	geodetic_datum	coordinate_uncertainty_in_meters	coordinate_precision	point_radius_spatial_fit	footprint_wkt	footprint_srs	footprint_spatial_fit	georeferenced_by	georeferenced_by_id	georeferenced_date	georeference_protocol	georeference_protocol_id	georeference_sources	georeference_remarks	preferred_spatial_representation	geological_context_id	feedback_url	information_withheld	data_generalizations
ae3167c7-46c5-4d54-b6c1-e8cacfc6ff30	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-23T19:35:18Z	19:35:18			2019	3	23	2019-03-23 12:35:18 PM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8256607056	-118.3650894165	epsg:4326									2019-03-23	gps		gps		point-radius				
ea14dcbb-cf55-409c-a75d-f42150ad1281	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-23T19:45:44Z	19:45:44			2019	3	23	2019-03-23 12:45:44 PM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8255767822	-118.3651046753	epsg:4326									2019-03-23	gps		gps		point-radius				
5815838e-63e1-4cc2-920c-cc7f11ac5de8	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-23T19:45:41Z	19:45:41			2019	3	23	2019-03-23 12:45:41 PM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8255767822	-118.3651046753	epsg:4326									2019-03-23	gps		gps		point-radius				
5d3ebe3e-f4b5-4751-bce9-d05a24a1f22e	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-23T19:45:49Z	19:45:49			2019	3	23	2019-03-23 12:45:49 PM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8255767822	-118.3651046753	epsg:4326									2019-03-23	gps		gps		point-radius				
61d97ba6-2fdb-4ddc-b9a9-11feb86ad8ea	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-23T19:45:52Z	19:45:52			2019	3	23	2019-03-23 12:45:52 PM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8255767822	-118.3651046753	epsg:4326									2019-03-23	gps		gps		point-radius				
ca0844e0-a738-42bc-9051-a6227ab8cb54	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-23T18:02:14Z	18:02:14			2019	3	23	2019-03-23 11:02:14 AM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8253288269	-118.3653869629	epsg:4326									2019-03-23	gps		gps		point-radius				
2c314c7f-9521-46be-9249-4db09d880367	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-23T18:03:04Z	18:03:04			2019	3	23	2019-03-23 11:03:04 AM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8253211975	-118.3653869629	epsg:4326									2019-03-23	gps		gps		point-radius				
61dc9a30-a512-4bb7-9281-d61463b7dec6	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-23T18:42:02Z	18:42:02			2019	3	23	2019-03-23 11:42:02 AM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.825428009	-118.3652648926	epsg:4326									2019-03-23	gps		gps		point-radius				
769b1186-7f6e-455f-b408-0e53626d2b7f	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-23T18:42:00Z	18:42:00			2019	3	23	2019-03-23 11:42:00 AM PDT	California, US																					United States		California	Los Angeles		California, US										32.9272847813	-118.3705592953	epsg:4326									2019-03-23	gps		gps		point-radius				
201a6e10-cd32-4b73-832c-f0d47be47047	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-24T17:16:51Z	17:16:51			2019	3	24	2019-03-24 10:16:51 AM PDT	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8300437927	-118.3701705933	epsg:4326									2019-03-24	gps		gps		point-radius				
39353b05-d7d4-4363-8fed-e178898799a8	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-24T20:15:32Z	20:15:32			2019	3	24	2019-03-24 1:15:32 PM PDT	California, US																					United States		California	Los Angeles		California, US										32.9319807914	-118.2964278647	epsg:4326									2019-03-24	gps		gps		point-radius				
