agentID,occurrenceID,agentRole
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-004,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-005,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-006,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-007,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-008,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-009,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-010,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-011,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-012,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-013,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-014,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-015,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-016,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-017,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-018,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-019,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-021,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-022,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-023,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-024,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-025,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-026,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-027,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-028,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-029,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-030,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-031,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-032,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-033,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-034,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-035,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-036,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-037,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-038,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-039,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:LEO14-040,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-001,collector
M.C.|D.L.|J.O.|J.L.P.,UCHILE:LEMi:TAM14-002,collector
