tblUploadID,tblHaulID,Ship,Gear,HaulNo,StationNumber,Year,Month,Day,Time,ShootLat,ShootLong,HaulLat,HaulLong,ICESrectangle,Depth,Survey,ICESDatabase,Notes
8440,16412,"AA36","EGY",1530,"5",1981,8,25,"1600",54.25,3.5,,,"37F3",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16413,"AA36","EGY",1643,"5",1981,8,25,"1600",54.25,3.5,,,"37F3",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16414,"AA36","EGY",1328,"8",1981,8,26,"0530",54.25,2.5,,,"37F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16415,"AA36","EGY",1405,"8",1981,8,26,"0530",54.25,2.5,,,"37F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16416,"AA36","EGY",1518,"8",1981,8,26,"0530",54.25,2.5,,,"37F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16417,"AA36","EGY",1632,"8",1981,8,26,"0530",54.25,2.5,,,"37F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16418,"AA36","EGY",1328,"8",1981,8,26,"1200",54.25,2.5,,,"37F2",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16419,"AA36","EGY",1335,"10",1981,8,26,"1200",54.75,3.5,,,"38F3",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16420,"AA36","EGY",1428,"11",1981,8,26,"1200",54.75,4.5,,,"38F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16421,"AA36","EGY",1335,"10",1981,8,26,"1510",54.75,3.5,,,"38F3",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16422,"AA36","EGY",1416,"10",1981,8,26,"1510",54.75,3.5,,,"38F3",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16423,"AA36","EGY",1532,"10",1981,8,26,"1510",54.75,3.5,,,"38F3",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16424,"AA36","EGY",1645,"10",1981,8,26,"1510",54.75,3.5,,,"38F3",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16425,"AA36","EGY",1428,"11",1981,8,26,"1940",54.75,4.5,,,"38F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16426,"AA36","EGY",1548,"11",1981,8,26,"1940",54.75,4.5,,,"38F4",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
